Rec_Unnamed: 0_level_0 Rk,Player,Rec_Unnamed: 2_level_0 Age,Rec_Unnamed: 3_level_0 Team,Rec_Unnamed: 4_level_0 Pos,Rec_Unnamed: 5_level_0 G,Rec_Unnamed: 6_level_0 GS,Rec_Receiving Tgt,Rec_Receiving Rec,Rec_Receiving Yds,Rec_Receiving Y/R,Rec_Receiving TD,Rec_Receiving 1D,Rec_Receiving Succ%,Rec_Receiving Lng,Rec_Receiving R/G,Rec_Receiving Y/G,Rec_Receiving Ctch%,Rec_Receiving Y/Tgt,Rec_Unnamed: 19_level_0 Fmb,Rec_Unnamed: 20_level_0 Awards,Year
94.0,Alvin Kamara,30.0,NOR,RB,11.0,11.0,39.0,33.0,186.0,5.6,0.0,7.0,33.3,26.0,3.0,16.9,84.6,4.8,2.0,,2025
95.0,Dalton Kincaid,26.0,BUF,TE,9.0,3.0,41.0,33.0,489.0,14.8,5.0,24.0,65.9,47.0,3.7,54.3,80.5,11.9,1.0,,2025
96.0,David Njoku,29.0,CLE,TE,12.0,11.0,48.0,33.0,293.0,8.9,4.0,11.0,45.8,23.0,2.8,24.4,68.8,6.1,0.0,,2025
97.0,Rachaad White,26.0,TAM,RB,13.0,8.0,38.0,33.0,172.0,5.2,0.0,8.0,34.2,18.0,2.5,13.2,86.8,4.5,0.0,,2025
98.0,Javonte Williams,25.0,DAL,RB,13.0,13.0,46.0,33.0,128.0,3.9,2.0,7.0,34.8,14.0,2.5,9.8,71.7,2.8,2.0,,2025
99.0,TreVeyon Henderson,23.0,NWE,RB,13.0,4.0,38.0,32.0,199.0,6.2,1.0,7.0,44.7,19.0,2.5,15.3,84.2,5.2,1.0,,2025
100.0,Tucker Kraft,25.0,GNB,TE,8.0,8.0,44.0,32.0,489.0,15.3,6.0,22.0,63.6,59.0,4.0,61.1,72.7,11.1,0.0,,2025
101.0,Kendrick Bourne,30.0,SFO,WR,12.0,7.0,43.0,31.0,482.0,15.5,0.0,23.0,69.8,56.0,2.6,40.2,72.1,11.2,0.0,,2025
102.0,Josh Jacobs,27.0,GNB,RB,12.0,12.0,38.0,31.0,251.0,8.1,0.0,7.0,52.6,31.0,2.6,20.9,81.6,6.6,2.0,,2025
103.0,Brenton Strange,25.0,JAX,TE,8.0,8.0,39.0,31.0,369.0,11.9,1.0,18.0,64.1,30.0,3.9,46.1,79.5,9.5,0.0,,2025
104.0,Elic Ayomanor,22.0,TEN,WR,12.0,11.0,67.0,30.0,353.0,11.8,3.0,21.0,38.8,33.0,2.5,29.4,44.8,5.3,0.0,,2025
105.0,Luther Burden,22.0,CHI,WR,12.0,3.0,40.0,30.0,395.0,13.2,1.0,16.0,52.5,65.0,2.5,32.9,75.0,9.9,0.0,,2025
106.0,Breece Hall,24.0,NYJ,RB,13.0,13.0,40.0,30.0,309.0,10.3,1.0,11.0,57.5,42.0,2.3,23.8,75.0,7.7,2.0,,2025
107.0,Jonnu Smith,30.0,PIT,TE,13.0,4.0,44.0,30.0,190.0,6.3,2.0,8.0,45.5,21.0,2.3,14.6,68.2,4.3,1.0,,2025
108.0,Tyjae Spears,24.0,TEN,RB,9.0,0.0,34.0,30.0,201.0,6.7,0.0,7.0,47.1,26.0,3.3,22.3,88.2,5.9,0.0,,2025
109.0,Jaylen Warren,27.0,PIT,RB,12.0,11.0,35.0,30.0,277.0,9.2,2.0,11.0,57.1,65.0,2.5,23.1,85.7,7.9,0.0,,2025
110.0,Kayshon Boutte,23.0,NWE,WR,11.0,8.0,38.0,29.0,481.0,16.6,6.0,23.0,73.7,39.0,2.6,43.7,76.3,12.7,0.0,,2025
