,Year,Rank,Player,Votes,Games,Games_Started,Age,Pass_QBrec,Pass_Rate,Pass_QBR,Pass_Y_per_A,Pass_AY_per_A,Pass_Y_per_C,Pass_Y_per_G,Pass_NY_per_A,Pass_ANY_per_A,Pass_Sk,Pass_4QC,Pass_GWD,Pass_Completions,Pass_Attempts,Pass_Yards,Pass_Touchdowns,Pass_Interceptions,Rush_Attempts,Rush_Yards,Rush_Touchdowns,Scrim_Receiving_Tgt,Scrim_Receiving_Y_R,Scrim_Receiving_1D,Scrim_Receiving_Succ_Pct,Scrim_Receiving_Lng,Scrim_Receiving_R_G,Scrim_Receiving_Y_G,Scrim_Receiving_Ctch_Pct,Scrim_Receiving_Y_Tgt,Rec_Receptions,Rec_Yards,Rec_Touchdowns,Scrim_Scrimmage_Touch,Scrim_Scrimmage_Y_Tch,Scrim_Scrimmage_YScm,Scrim_Scrimmage_RRTD,Def_Solo,Def_Sk,Def_Int,Scrim_Rushing_1D,Scrim_Rushing_Succ_Pct,Scrim_Rushing_Lng,Scrim_Rushing_Y_A,Scrim_Rushing_Y_G,Scrim_Rushing_A_G
55,2015,2,Tom Brady,1.0,16,16,38.0,,102.2,68.4,7.6,8.29,11.9,298.1,6.87,7.48,38.0,2.0,2.0,402,624,4770,36,7,34,53,3,1.0,36.0,1.0,100.0,36.0,0.1,2.3,100.0,36.0,1,36,0,35.0,2.5,89.0,3.0,0.0,0.0,0.0,14.0,41.2,13.0,1.6,3.3,2.1
56,2015,3,Carson Palmer,1.0,16,16,36.0,,104.6,76.4,8.7,9.08,13.7,291.9,8.04,8.41,25.0,1.0,4.0,342,537,4671,35,11,25,24,1,0.0,,0.0,,,0.0,0.0,,,0,0,0,25.0,1.0,24.0,1.0,0.0,0.0,0.0,5.0,16.0,12.0,1.0,1.5,1.6
57,2014,1,Aaron Rodgers,31.0,16,16,31.0,,112.2,77.8,8.4,9.45,12.8,273.8,7.68,8.65,28.0,1.0,1.0,341,520,4381,38,5,43,269,2,0.0,,0.0,,,0.0,0.0,,,0,0,0,43.0,6.3,269.0,2.0,0.0,0.0,0.0,22.0,58.1,19.0,6.3,16.8,2.7
58,2014,2,J.J. Watt,13.0,16,16,25.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3.0,1.3,3.0,100.0,2.0,0.2,0.3,100.0,1.3,3,4,3,3.0,1.3,4.0,3.0,59.0,20.5,1.0,0.0,,,,0.0,0.0
59,2014,3,DeMarco Murray,2.0,16,16,26.0,,,,,,,,,,,,,0,0,0,0,0,392,1845,13,64.0,7.3,17.0,54.7,34.0,3.6,26.0,89.1,6.5,57,416,0,449.0,5.0,2261.0,13.0,0.0,0.0,0.0,89.0,53.1,51.0,4.7,115.3,24.5
60,2014,4,Tony Romo,2.0,15,15,34.0,,113.2,79.2,8.5,9.15,12.2,247.0,7.52,8.11,29.0,3.0,4.0,304,435,3705,34,9,26,61,0,0.0,,0.0,,,0.0,0.0,,,0,0,0,26.0,2.3,61.0,0.0,0.0,0.0,0.0,6.0,19.2,21.0,2.3,4.1,1.7
61,2014,5,Tom Brady,1.0,16,16,37.0,,97.4,77.2,7.1,7.5,11.0,256.8,6.59,7.01,21.0,2.0,2.0,373,582,4109,33,9,36,57,0,0.0,,0.0,,,0.0,0.0,,,0,0,0,36.0,1.6,57.0,0.0,0.0,0.0,0.0,11.0,36.1,17.0,1.6,3.6,2.3
62,2014,6,Bobby Wagner,1.0,11,11,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,,,,,67.0,2.0,0.0,,,,,,
63,2013,1,Peyton Manning,49.0,16,16,37.0,,115.1,79.0,8.3,9.3,12.2,342.3,7.91,8.87,18.0,2.0,2.0,450,659,5477,55,10,32,-31,1,0.0,,0.0,,,0.0,0.0,,,0,0,0,32.0,-1.0,-31.0,1.0,0.0,0.0,0.0,1.0,3.1,1.0,-1.0,-1.9,2.0
64,2013,2,Tom Brady,1.0,16,16,36.0,,87.3,63.1,6.9,6.92,11.4,271.4,6.12,6.13,40.0,5.0,5.0,380,628,4343,25,11,32,18,0,0.0,,0.0,,,0.0,0.0,,,0,0,0,32.0,0.6,18.0,0.0,0.0,0.0,0.0,5.0,18.8,11.0,0.6,1.1,2.0
65,2012,1,Adrian Peterson,30.5,16,16,27.0,,,,,,,,,,,,,0,0,0,0,0,348,2097,12,51.0,5.4,11.0,45.1,20.0,2.5,13.6,78.4,4.3,40,217,1,388.0,6.0,2314.0,13.0,0.0,0.0,0.0,88.0,46.8,82.0,6.0,131.1,21.8
66,2012,2,Peyton Manning,19.5,16,16,36.0,,105.8,79.6,8.0,8.41,11.6,291.2,7.49,7.89,21.0,3.0,3.0,400,583,4659,37,11,23,6,0,0.0,,0.0,,,0.0,0.0,,,0,0,0,23.0,0.3,6.0,0.0,0.0,0.0,0.0,2.0,17.4,10.0,0.3,0.4,1.4
67,2011,1,Aaron Rodgers,48.0,15,15,28.0,,122.5,83.8,9.2,10.5,13.5,309.5,8.22,9.39,36.0,0.0,1.0,343,502,4643,45,6,60,257,3,0.0,,0.0,,,0.0,0.0,,,0,0,0,60.0,4.3,257.0,3.0,0.0,0.0,0.0,18.0,38.3,25.0,4.3,17.1,4.0
68,2011,2,Drew Brees,2.0,16,16,32.0,,110.6,82.3,8.3,8.78,11.7,342.3,7.81,8.23,24.0,3.0,4.0,468,657,5476,46,14,21,86,1,0.0,,0.0,,,0.0,0.0,,,0,0,0,21.0,4.1,86.0,1.0,0.0,0.0,0.0,5.0,52.4,20.0,4.1,5.4,1.3
69,2010,1,Tom Brady,50.0,16,16,33.0,,111.0,79.1,7.9,9.02,12.0,243.8,7.21,8.25,25.0,2.0,3.0,324,492,3900,36,4,31,30,1,0.0,,0.0,,,0.0,0.0,,,0,0,0,31.0,1.0,30.0,1.0,0.0,0.0,0.0,10.0,32.3,9.0,1.0,1.9,1.9
70,2009,1,Peyton Manning,39.5,16,16,33.0,,99.9,80.7,7.9,7.78,11.5,281.3,7.62,7.51,10.0,7.0,7.0,393,571,4500,33,16,19,-13,0,0.0,,0.0,,,0.0,0.0,,,0,0,0,19.0,-0.7,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.7,-0.8,1.2
