RecAdv_Unnamed: 0_level_0 Rk,Player,RecAdv_Unnamed: 2_level_0 Age,RecAdv_Unnamed: 3_level_0 Team,RecAdv_Unnamed: 4_level_0 Pos,RecAdv_Unnamed: 5_level_0 G,RecAdv_Unnamed: 6_level_0 GS,RecAdv_Receiving Tgt,RecAdv_Receiving Rec,RecAdv_Receiving Yds,RecAdv_Receiving 1D,RecAdv_Receiving YBC,RecAdv_Receiving YBC/R,RecAdv_Receiving YAC,RecAdv_Receiving YAC/R,RecAdv_Receiving ADOT,RecAdv_Receiving BrkTkl,RecAdv_Receiving Rec/Br,RecAdv_Receiving Drop,RecAdv_Receiving Drop%,RecAdv_Receiving Int,RecAdv_Receiving Rat,RecAdv_Unnamed: 22_level_0 Awards,Year
89.0,Colston Loveland,21.0,CHI,TE,12.0,8.0,49.0,35.0,435.0,21.0,264.0,7.5,171.0,4.9,9.0,4.0,8.8,0.0,0.0,0.0,125.8,,2025
90.0,Jonathan Taylor,26.0,IND,RB,13.0,13.0,40.0,35.0,304.0,12.0,-44.0,-1.3,348.0,9.9,-1.2,6.0,5.8,4.0,10.0,0.0,115.0,,2025
91.0,Brian Thomas,23.0,JAX,WR,10.0,10.0,69.0,35.0,535.0,24.0,400.0,11.4,135.0,3.9,14.1,1.0,35.0,9.0,13.0,1.0,75.5,,2025
92.0,Chimere Dike,24.0,TEN,WR,13.0,7.0,55.0,34.0,284.0,14.0,119.0,3.5,165.0,4.9,8.3,0.0,,0.0,0.0,2.0,78.1,,2025
93.0,Noah Fant,28.0,CIN,TE,12.0,6.0,39.0,33.0,283.0,13.0,115.0,3.5,168.0,5.1,3.6,1.0,33.0,1.0,2.6,0.0,122.5,,2025
94.0,Alvin Kamara,30.0,NOR,RB,11.0,11.0,39.0,33.0,186.0,7.0,-16.0,-0.5,202.0,6.1,0.8,2.0,16.5,2.0,5.1,0.0,86.5,,2025
95.0,Dalton Kincaid,26.0,BUF,TE,9.0,3.0,41.0,33.0,489.0,24.0,253.0,7.7,236.0,7.2,8.9,1.0,33.0,1.0,2.4,0.0,155.9,,2025
96.0,David Njoku,29.0,CLE,TE,12.0,11.0,48.0,33.0,293.0,11.0,133.0,4.0,160.0,4.8,5.3,3.0,11.0,1.0,2.1,2.0,95.2,,2025
97.0,Rachaad White,26.0,TAM,RB,13.0,8.0,38.0,33.0,172.0,8.0,-90.0,-2.7,262.0,7.9,-2.1,4.0,8.3,0.0,0.0,0.0,85.5,,2025
98.0,Javonte Williams,25.0,DAL,RB,13.0,13.0,46.0,33.0,128.0,7.0,-63.0,-1.9,191.0,5.8,-1.3,0.0,,0.0,0.0,0.0,88.9,,2025
99.0,TreVeyon Henderson,23.0,NWE,RB,13.0,4.0,38.0,32.0,199.0,7.0,-24.0,-0.8,223.0,7.0,-0.6,3.0,10.7,2.0,5.3,0.0,97.3,,2025
100.0,Tucker Kraft,25.0,GNB,TE,8.0,8.0,44.0,32.0,489.0,22.0,145.0,4.5,344.0,10.8,4.7,6.0,5.3,3.0,6.8,0.0,148.6,,2025
101.0,Kendrick Bourne,30.0,SFO,WR,12.0,7.0,43.0,31.0,482.0,23.0,333.0,10.7,149.0,4.8,11.1,1.0,31.0,5.0,11.6,1.0,99.2,,2025
102.0,Josh Jacobs,27.0,GNB,RB,12.0,12.0,38.0,31.0,251.0,7.0,-35.0,-1.1,286.0,9.2,-1.4,5.0,6.2,0.0,0.0,0.0,94.2,,2025
103.0,Brenton Strange,25.0,JAX,TE,8.0,8.0,39.0,31.0,369.0,18.0,204.0,6.6,165.0,5.3,7.6,2.0,15.5,2.0,5.1,0.0,114.6,,2025
104.0,Elic Ayomanor,22.0,TEN,WR,12.0,11.0,67.0,30.0,353.0,21.0,267.0,8.9,86.0,2.9,12.0,0.0,,5.0,7.5,2.0,63.8,,2025
105.0,Luther Burden,22.0,CHI,WR,12.0,3.0,40.0,30.0,395.0,16.0,191.0,6.4,204.0,6.8,7.8,0.0,,1.0,2.5,0.0,114.1,,2025
106.0,Breece Hall,24.0,NYJ,RB,13.0,13.0,40.0,30.0,309.0,11.0,43.0,1.4,266.0,8.9,1.1,1.0,30.0,2.0,5.0,0.0,105.1,,2025
107.0,Jonnu Smith,30.0,PIT,TE,13.0,4.0,44.0,30.0,190.0,8.0,35.0,1.2,155.0,5.2,4.3,2.0,15.0,2.0,4.5,0.0,92.0,,2025
108.0,Tyjae Spears,24.0,TEN,RB,9.0,0.0,34.0,30.0,201.0,7.0,-37.0,-1.2,238.0,7.9,-1.1,5.0,6.0,1.0,2.9,0.0,91.3,,2025
109.0,Jaylen Warren,27.0,PIT,RB,12.0,11.0,35.0,30.0,277.0,11.0,-51.0,-1.7,328.0,10.9,-1.5,5.0,6.0,1.0,2.9,0.0,118.7,,2025
110.0,Kayshon Boutte,23.0,NWE,WR,11.0,8.0,38.0,29.0,481.0,23.0,451.0,15.6,30.0,1.0,15.7,1.0,29.0,1.0,2.6,1.0,146.4,,2025
111.0,James Cook,26.0,BUF,RB,13.0,13.0,31.0,29.0,267.0,9.0,22.0,0.8,245.0,8.4,0.8,3.0,9.7,1.0,3.2,0.0,113.3,,2025
112.0,Greg Dortch,27.0,ARI,WR,12.0,3.0,33.0,29.0,206.0,10.0,12.0,0.4,194.0,6.7,1.8,4.0,7.3,1.0,3.0,0.0,123.0,,2025
113.0,Rico Dowdle,27.0,CAR,RB,13.0,7.0,36.0,29.0,254.0,13.0,-38.0,-1.3,292.0,10.1,-1.1,2.0,14.5,1.0,2.8,1.0,93.7,,2025
114.0,Ryan Flournoy,26.0,DAL,WR,13.0,2.0,42.0,29.0,349.0,21.0,227.0,7.8,122.0,4.2,8.7,2.0,14.5,1.0,2.4,1.0,108.1,,2025
115.0,Pat Freiermuth,27.0,PIT,TE,13.0,5.0,35.0,28.0,307.0,12.0,148.0,5.3,159.0,5.7,5.3,2.0,14.0,0.0,0.0,1.0,129.4,,2025
116.0,Travis Hunter,22.0,JAX,WR,7.0,4.0,45.0,28.0,298.0,12.0,158.0,5.6,140.0,5.0,7.8,3.0,9.3,2.0,4.4,2.0,70.4,,2025
117.0,Xavier Legette,24.0,CAR,WR,11.0,11.0,53.0,28.0,287.0,14.0,222.0,7.9,65.0,2.3,9.4,0.0,,2.0,3.8,3.0,64.0,,2025
118.0,Dylan Sampson,21.0,CLE,RB,13.0,1.0,34.0,28.0,259.0,8.0,-26.0,-0.9,285.0,10.2,-1.2,2.0,14.0,0.0,0.0,0.0,118.0,,2025
119.0,D'Andre Swift,26.0,CHI,RB,12.0,12.0,40.0,28.0,256.0,10.0,-58.0,-2.1,314.0,11.2,-0.7,0.0,,3.0,7.5,0.0,95.4,,2025
120.0,Calvin Austin III,26.0,PIT,WR,11.0,7.0,46.0,27.0,309.0,11.0,191.0,7.1,118.0,4.4,10.5,2.0,13.5,2.0,4.3,3.0,66.3,,2025
121.0,Demario Douglas,25.0,NWE,WR,13.0,0.0,39.0,27.0,402.0,16.0,242.0,9.0,160.0,5.9,9.8,1.0,27.0,2.0,5.1,0.0,128.4,,2025
122.0,Tony Pollard,28.0,TEN,RB,13.0,13.0,34.0,27.0,171.0,8.0,14.0,0.5,157.0,5.8,0.6,2.0,13.5,2.0,5.9,1.0,75.4,,2025
123.0,JuJu Smith-Schuster,29.0,KAN,WR,13.0,8.0,35.0,27.0,304.0,17.0,127.0,4.7,177.0,6.6,6.2,3.0,9.0,1.0,2.9,2.0,88.3,,2025
124.0,Travis Etienne,26.0,JAX,RB,13.0,13.0,39.0,26.0,181.0,8.0,-54.0,-2.1,235.0,9.0,-1.8,2.0,13.0,5.0,12.8,0.0,94.1,,2025
125.0,Jerome Ford,26.0,CLE,RB,13.0,0.0,32.0,26.0,103.0,4.0,-51.0,-2.0,154.0,5.9,-1.5,2.0,13.0,3.0,9.4,0.0,80.1,,2025
126.0,Xavier Hutchinson,25.0,HOU,WR,13.0,4.0,41.0,26.0,303.0,14.0,220.0,8.5,83.0,3.2,11.0,2.0,13.0,1.0,2.4,1.0,99.9,,2025
