,1000_Rec_Yards,1000_Rush_Yards,GS Pass_Cmp,Likely_RB,PFR_Age GS,PFR_Age^2,Pass_Comp_Pct,Pass_Int,Pass_TD_INT_Ratio,Pass_YPA,Rec,Rec_YPR,Rush_TD,Rush_TD_Rate,Rush_YPC,Rush_Yds,Total_TD,Total_TDs,Total_Yards,target,season
70,-0.302659963383191,-0.5800418934273982,-0.4844598480981374,1.6925911688487756,-0.6218964326619337,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,-0.49747469964794205,0.035009488444728565,0.48974587333571395,-0.2826534729611224,-0.28710613971732835,0.744065903155502,-0.179636886126892,0.3941394574889523,0.4134334091627656,1.0,2009
22,-0.302659963383191,1.7240134054647667,-0.8087195679918836,1.6925911688487756,-1.0318407892157164,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,-1.034034463693114,0.20533203081782517,-0.5594475332112087,-0.30412952071099963,0.07923266208808541,0.9316964128504871,-0.6933983804498033,-0.7467905510316989,0.43990859341072186,3.0,2022
171,-0.302659963383191,-0.5800418934273982,0.3261894516362279,-0.590810124975516,0.40296445872252334,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,-0.0056282492732011415,-1.1642864300109321,-0.29714918157447795,-0.26228952507799996,0.13451618766807574,-0.2324656132115792,-0.5649580068690754,-0.7467905510316989,-0.8554843501499956,10.0,1985
9,-0.302659963383191,-0.5800418934273982,2.0050606952493584,-0.590810124975516,1.0178809935531976,0.07102597248546388,-1.756620131505855,-1.6015080955021646,3.2943739465421,1.5339896481750799,-1.74944748242001,-1.1642864300109321,-1.3463425881214006,-0.3259590836501439,0.45022440937294705,-0.2324656132115792,1.4900879704225696,-1.65953455784822,-0.8554843501499956,1.0,2024
80,-0.302659963383191,-0.5800418934273982,-1.781498727673122,1.6925911688487756,-2.261673858877065,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,0.3073649464198158,0.32999858455441955,2.0635359831560978,-0.2062909976586007,0.32693742018185473,0.7312729138581168,0.5910053553574749,1.7632554677137338,0.8237987650060877,9.0,2006
46,-0.302659963383191,1.7240134054647667,0.0019297317424817886,1.6925911688487756,-0.006979897831259459,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,-0.810467895340959,0.24709155225498372,1.276640928245906,-0.25923116200207846,0.04613953783632132,1.0830801195362136,0.20568423461529142,0.6223254591930825,0.6668387441074899,27.0,2015
85,-0.302659963383191,-0.5800418934273982,0.6504491715299741,-0.590810124975516,0.8129088152763062,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,-0.0056282492732011415,-1.1642864300109321,-0.29714918157447795,-0.26228952507799996,0.13451618766807574,-0.2324656132115792,-0.5649580068690754,-0.7467905510316989,-0.8554843501499956,1.0,2005
95,-0.302659963383191,-0.5800418934273982,-0.8087195679918836,-0.590810124975516,-1.0318407892157164,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,0.3967915737606778,1.7358888720566534,-0.29714918157447795,5.786318533227065,-5.251892180296583,-1.2985480546603578,-0.5649580068690754,0.8505114608972127,-0.13119895250947763,7.0,2001
16,-0.302659963383191,-0.5800418934273982,0.16405959168935486,-0.590810124975516,0.19799228044563194,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,1.1122045924875736,0.7891442165504272,-0.8217458848479393,-0.048128282630424596,2.0504231368541106,-1.0213666198836755,-0.8218387540305311,0.6223254591930825,-0.0555555689438883,1.0,2023
163,-0.302659963383191,1.7240134054647667,0.0019297317424817886,1.6925911688487756,-0.006979897831259459,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,-0.989321150022683,-0.2740054499683145,0.7520442249724446,-0.2832158834895277,0.013030352860094293,1.6097248456119104,-0.0511965125461642,0.16595345578482204,0.9599568554241485,74.0,1986
0,-0.302659963383191,-0.5800418934273982,1.7800641549149223,-0.590810124975516,1.1693821688013346,3.8298099179563283,-1.7566201315052379,-0.516125831725816,2.8323064216074822,1.8996973367092727,-1.74944748242001,-1.1642864300109321,0.22744752169898333,-0.2640103239581015,0.44461274939960976,0.6246646697132389,2.9029320798105753,-0.29041854762343844,-0.0952683453158227,115.0,2024
152,-0.302659963383191,1.7240134054647667,0.3261894516362279,1.6925911688487756,0.40296445872252334,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,-1.123461091033976,-0.060708965180348004,-0.29714918157447795,-0.30537902431354824,-0.2540884109346103,1.2152743422758623,-0.5649580068690754,-0.7467905510316989,0.6138883756115774,30.0,1988
120,-0.302659963383191,1.7240134054647667,-0.6465897080450105,1.6925911688487756,-0.8268686109388251,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,-0.765754581670528,-0.31152202534696743,0.48974587333571395,-0.2882954011142497,-0.37886089902009873,0.8805244556609457,-0.179636886126892,-0.06223254591930819,0.3567008714885736,1.0,1994
106,-0.302659963383191,1.7240134054647667,-0.9708494279387566,1.6925911688487756,-1.2368129674926078,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,-0.5421880133183731,0.3480234292533605,1.276640928245906,-0.26037670572135363,0.05142737651215815,1.1321199118428575,0.20568423461529142,0.6223254591930825,0.8446006954866249,13.0,1997
69,-0.302659963383191,-0.5800418934273982,0.16405959168935486,-0.590810124975516,0.19799228044563194,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,0.7544980831241257,1.0119007647843266,-0.29714918157447795,2.7301797263165297,-2.741721291743217,-1.2900193951287677,-0.5649580068690754,0.16595345578482204,-0.3316539189582894,1.0,2009
105,-0.302659963383191,-0.5800418934273982,-0.32232998815126435,1.6925911688487756,-0.41692425438504227,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,-0.0056282492732011415,0.7033062028647998,-0.29714918157447795,-0.2986721299762055,-0.1090301547842764,0.8101630145253264,-0.5649580068690754,-0.06223254591930819,0.942937094121891,28.0,1997
61,-0.302659963383191,-0.5800418934273982,0.7245656789342589,-0.590810124975516,0.8129088152763062,0.07102597248546388,-1.756620131505697,-0.1543317438003666,2.6558806393270302,2.061304670293624,-0.0056282492732011415,-1.1642864300109321,-0.29714918157447795,-0.26093485361903257,0.17078904718316543,-0.2324656132115792,2.7744917062298473,-0.7467905510316989,-0.8554843501499956,10.0,2012
177,-0.302659963383191,1.7240134054647667,0.6504491715299741,1.6925911688487756,0.8129088152763062,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,0.12851169173809185,0.05565464511498293,2.0635359831560978,-0.2666608679049005,-0.12265144458857187,1.814412674370076,0.5910053553574749,1.5350694660096034,1.574559346894562,3.0,1983
8,3.304037933599835,-0.5800418934273982,0.3261894516362279,-0.590810124975516,0.40296445872252334,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,1.9170442385553315,1.044791108604834,-1.3463425881214006,-0.3259590836501439,-1.5703082095592769,-1.2750942409484847,-1.0787195011919866,-0.06223254591930819,0.39263147868222853,1.0,2024
86,-0.302659963383191,-0.5800418934273982,0.488319311583101,-0.590810124975516,0.6079366369994148,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,-0.0056282492732011415,0.6911789779759964,-0.29714918157447795,-0.26228952507799996,0.13451618766807574,-0.2324656132115792,-0.5649580068690754,0.6223254591930825,0.012523476265142107,1.0,2005
44,-0.302659963383191,-0.5800418934273982,1.3492619556275167,-0.590810124975516,0.8129088152763062,0.07102597248546388,-1.7566201315053518,-2.3250962713530634,5.54926346855942,2.0791488100217816,-0.0056282492732011415,-1.1642864300109321,0.22744752169898333,-0.1651096725216635,0.0855238171838059,-0.6738237439713736,2.6460513326491197,-0.29041854762343844,-1.2469388601019205,28.5,2016
